Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,137.2,-1.16,-0.84%,140,136.51,1298300,2024-09-06
AAL,American Airlines Gp,10.8,0,0.00%,11.1,10.7,27842801,2024-09-06
AAPL,Apple Inc,220.82,-1.56,-0.70%,225.24,219.77,48423000,2024-09-06
ABBV,Abbvie Inc,193.4,0.54,0.28%,194.74,192.83,4312600,2024-09-06
ABNB,Airbnb Inc Cl A,114.28,-1.88,-1.62%,117.26,113.24,4072300,2024-09-06
ABT,Abbott Laboratories,113.86,0.76,0.67%,114.34,113.01,3802300,2024-09-06
ACGL,Arch Capital Grp Ltd,110.45,-1.74,-1.55%,112.86,110.27,1211500,2024-09-06
ACN,Accenture Plc,339.84,-1.09,-0.32%,342.4432,336.76,1613500,2024-09-06
ADBE,Adobe Systems Inc,563.41,-4.52,-0.80%,573.31,558,2096700,2024-09-06
ADI,Analog Devices,213.64,-5.42,-2.47%,219.4,212.7,3437000,2024-09-06
ADM,Archer Daniels Midland,59.47,-0.6,-1.00%,60.55,59.185,2641500,2024-09-06
ADP,Automatic Data Procs,269.56,-0.61,-0.23%,271.49,267.79,2814500,2024-09-06
ADSK,Autodesk Inc,250.37,-1.4,-0.56%,255,249.61,1487900,2024-09-06
AEE,Ameren Corp,83.16,-0.58,-0.69%,84.03,83.1,1076000,2024-09-06
AEP,American Electric Power Company,102.05,-1.05,-1.02%,103.55,101.97,3659200,2024-09-06
AES,The Aes Corp,16.19,-0.75,-4.43%,17.035,16.18,8732000,2024-09-06
AFL,Aflac Inc,108.89,-0.8,-0.73%,110.8,108.52,2976000,2024-09-06
AIG,American International Group,71.91,-1.93,-2.61%,74.74,71.27,7205300,2024-09-06
AIZ,Assurant Inc,192.58,-2.28,-1.17%,196.375,192.07,365500,2024-09-06
AJG,Arthur J. Gallagher & Company,294.19,-0.76,-0.26%,296.75,293.59,671500,2024-09-06
AKAM,Akamai Technologies,96.54,-2.58,-2.60%,99.68,96.48,1223300,2024-09-06
ALB,Albemarle Corp,76.9,-5.7,-6.90%,81.4555,75.36,3495800,2024-09-06
ALGN,Align Technology,221.15,-5.37,-2.37%,228.51,218.25,635700,2024-09-06
ALL,Allstate Corp,185.36,-0.4,-0.22%,188.44,184.35,1687500,2024-09-06
ALLE,Allegion Plc,134.5,-1.19,-0.88%,137.425,133.98,478600,2024-09-06
AMAT,Applied Materials,174.75,-5.49,-3.05%,180.71,173.39,8887900,2024-09-06
AMCR,Amcor Plc,11.08,-0.015,-0.14%,11.16,11.035,7703300,2024-09-06
AMD,Adv Micro Devices,134.35,-5.09,-3.65%,139.13,132.11,39993500,2024-09-06
AME,Ametek Inc,163.64,-1.51,-0.91%,166.99,163.22,835900,2024-09-06
AMGN,Amgen Inc,320.56,-3.8,-1.17%,326.97,319,2242400,2024-09-06
AMP,Ameriprise Financial Services,430.17,-9.38,-2.13%,442.155,426.9,561800,2024-09-06
AMT,American Tower Corp,236.16,2.52,1.08%,236.44,232.53,2749900,2024-09-06
AMZN,Amazon.com Inc,171.39,-6.5,-3.65%,178.38,171.16,41466500,2024-09-06
ANET,Arista Networks Inc,314.31,-14.13,-4.30%,328.1099,313.02,2188300,2024-09-06
ANSS,Ansys Inc,305.04,-4.71,-1.52%,310.93,304.07,464900,2024-09-06
AON,AON Plc,348.03,-0.77,-0.22%,350.28,346.5,954700,2024-09-06
AOS,Smith A.O. Corp,76.91,-0.95,-1.22%,78.63,76.78,864800,2024-09-06
APA,Apa Corp,25.24,-0.73,-2.81%,26.36,25.09,5689700,2024-09-06
